"projectID","projectAcronym","organisationID","vatNumber","name","shortName","SME","activityType","street","postCode","city","country","nutsCode","geolocation","organizationURL","contactForm","contentUpdateDate","rcn","order","role","ecContribution","netEcContribution","totalCost","endOfParticipation","active"
"859111","SRSensor","930078002","IL514699743","OPTIQGAIN LTD","OPTIQGAIN LTD","True","PRC","1 SHIDLOVSKI ST","8122101","YAVNE","IL","","31.8945761,34.7354878402964","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/930078002/859111","2023-04-05 13:15:00","1944631","1","coordinator","1788682.0","1788682.0","2555260","False",""
"883204","EU-RADION","999627875","SE202100518201","TOTALFORSVARETS FORSKNINGSINSTITUT","FOI","False","REC","Gullfossgatan 6","164 90","Stockholm","SE","","59.4044539,17.9453627","http://www.foi.se","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999627875/883204","2023-04-29 01:07:00","1905866","2","participant","771225.0","771225.0","771225,1","False",""
"883204","EU-RADION","999572294","PL5250011266","UNIWERSYTET WARSZAWSKI","UNIWARSAW","False","HES","KRAKOWSKIE PRZEDMIESCIE 26/28","00 927","WARSZAWA","PL","","52.23961125,21.0173473017396","http://www.uw.edu.pl","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999572294/883204","2023-04-29 01:07:00","1905928","6","participant","103437.5","103437.5","103437,5","False",""
"883204","EU-RADION","972830073","DE180864238","AIRSENSE ANALYTICS GMBH","","True","PRC","HAGENOWER STRASSE 73","19061","Schwerin","DE","","53.60169725,11.41895585","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/972830073/883204","2023-04-29 01:07:00","2468357","5","participant","514625.0","514625.0","514625","False",""
"883204","EU-RADION","997401434","SE222000035601","STORSTOCKHOLMS BRANDFORSVAR","SSBF","False","OTH","MALMSKILLNADSGATAN","111 83","Stockholm","SE","","59.3251172,18.0710935","www.brand.stockholm.se","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/997401434/883204","2023-04-29 01:07:00","2153115","8","participant","54375.0","54375.0","54375","False",""
"883204","EU-RADION","999789574","NO970963340MVA","FORSVARETS FORSKNINGINSTITUTT","FFI","False","REC","INSTITUTTVEIEN 20","2027","KJELLER","NO","","59.9737819,11.0475494","http://www.mil.no/felles/ffi","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999789574/883204","2023-04-29 01:07:00","1909415","3","participant","277812.5","277812.5","277812,5","False",""
"883204","EU-RADION","999969509","PL7811019801","ITTI SP ZOO","INSTYTUT TECHNIK TELEKOMUNIKACYJNYCH I INFORMATYCZENYCH","True","PRC","RUBIEZ 46","61-612","POZNAN","PL","","52.4550553,16.9562422","http://www.itti.com.pl","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999969509/883204","2023-04-29 01:07:00","1913382","1","coordinator","744375.0","744375.0","744375","False",""
"883204","EU-RADION","911812514","DE122269001","TECHNISCH-MATHEMATISCHE STUDIENGESELLSCHAFT MIT BESCHRANKTER HAFTUNG","TMS","True","PRC","HOLTORFER STR. 54","53229","Bonn","DE","","50.73838595,7.15278135","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/911812514/883204","2023-04-29 01:07:00","1946870","4","participant","779463.75","779463.75","779463,75","False",""
"883204","EU-RADION","952173535","PL5250008318","CENTRALNE LABORATORIUM OCHRONY RADIOLOGICZNEJ","","True","REC","UL. KONWALIOWA 7","03 194","WARSZAWA","PL","","52.1087976,20.99811110443514","http://www.clor.waw.pl","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/952173535/883204","2023-04-29 01:07:00","2093184","7","participant","245312.5","245312.5","245312,5","False",""
"896850","HeavyQGP","999849326","FR55180092025","INSTITUT MINES-TELECOM","","False","HES","19 PLACE MARGUERITE PEREY","91120","Palaiseau","FR","","48.7144587,2.2453842","http://www.mines-telecom.fr","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999849326/896850","2023-05-04 20:43:00","1907037","1","coordinator","196707.84","196707.84","196707,84","False",""
"877102","RTExD","899821762","CHE242106415TVA","SECURAXIS SA","SECURAXIS AG SECURAXISLTD","True","PRC","ROUTE DE MON-IDEE 151","1253","VANDOEUVRES","CH","","46.21561885,6.213745027192536","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/899821762/877102","2023-05-04 20:36:00","1960218","1","coordinator","50000.0","50000.0","71429","False",""
"840854","ViSionRF","999853400","GB270800579","HERIOT-WATT UNIVERSITY","HWU","False","HES","Riccarton","EH14 4AS","Edinburgh","UK","","55.91029135,-3.32345751821767","http://www.hw.ac.uk","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999853400/840854","2023-04-05 12:39:00","1906061","1","coordinator","224933.76","224933.76","224933,76","False",""
"874190","Winegrid","941735559","PT510979505","WATGRID LDA","WATGRID","True","PRC","CAMPUS UNIVERSITARIO DE AVEIRO EDIFICIO 1","3810-193","AVEIRO","PT","","40.6275896,-8.60742264933243","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/941735559/874190","2023-04-05 13:30:00","2363506","1","coordinator","1594118.75","1594118.75","2277312,5","False",""
"876257","UPTEKO","904070653","DK39816466","UPTEKO APS","UPTEKO","True","PRC","TITANGADE 11","2200","KOBENHAVN","DK","","55.704369,12.553602","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/904070653/876257","2023-05-04 19:59:00","1959890","1","coordinator","50000.0","50000.0","71429","False",""
"776825","MELOA","998150953","PT501494170","INSTITUTO HIDROGRAFICO","IH","False","REC","R. das Trinas 49","1249-093","Lisboa","PT","","38.7077926,-9.136506","http://www.hidrografico.pt","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998150953/776825","2023-03-21 17:03:00","1923737","3","participant","402000.0","402000.0","402000","False",""
"776825","MELOA","996405632","PT502854227","INSTITUTO DE SISTEMAS E ROBOTICA-ASSOCIACAO","ISR","False","REC","POLO II VILA FRANCA EDF DEPARTEMENTO ENG ELECTROTECNICA E COMPUTADORES","3030-290","Coimbra","PT","","40.2109801,-8.4292056","http://www.isr.uc.pt","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/996405632/776825","2023-03-21 17:03:00","1921027","9","participant","397356.0","397356.0","397356","False",""
"776825","MELOA","999623219","PT506245179","DEIMOS ENGENHARIA SA","","False","PRC","AVENIDA COLUMBANO BORDALO PINHEIRO75 9A1","1070-061","LISBOA","PT","","38.74366525,-9.15173641402486","www.deimos.com.pt","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999623219/776825","2023-03-21 17:03:00","1957107","7","participant","325625.0","325625.0","325625","False",""
"776825","MELOA","919790764","PT513246479","COMPOSITE SOLUTIONS LDA","COMPOSITE SOLUTIONS LDA","True","PRC","ZONA INDUSTRIAL DE VAGOS  LOTE 90","3840-385","Vagos","PT","","40.033265,-7.8896263","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/919790764/776825","2023-03-21 17:03:00","3146572","10","participant","435145.0","435145.0","435145","False",""
"776825","MELOA","952690448","IE9828221L","BLUEWISE MARINE LIMITED","","True","PRC","DUBLIN ROAD","H91DCH9","GALWAY","IE","","53.2752295,-9.0003007","www.smartbay.ie","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/952690448/776825","2023-03-21 17:03:00","1973404","4","participant","234613.75","234613.75","234613,75","False",""
"776825","MELOA","999580830","PT508459761","OCEANSCAN - MARINE SYSTEMS & TECHNOLOGY LDA","MST","True","PRC","AVENIDA DA LIBERDADE POLO DO MAR DO UPTEC","4450 718","MATOSINHOS PORTO","PT","","41.22232475,-8.67043225545132","www.oceanscan-mst.com","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999580830/776825","2023-03-21 17:03:00","2154531","5","participant","796875.0","796875.0","796875","False",""
"776825","MELOA","999976202","ESQ0818003F","UNIVERSITAT POLITECNICA DE CATALUNYA","UPC","False","HES","CALLE JORDI GIRONA 31","8034","Barcelona","ES","","41.3825596,2.1771353","http://www.upc.edu","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999976202/776825","2023-03-21 17:03:00","1910033","2","participant","421750.0","421750.0","421750","False",""
"776825","MELOA","998142126","FR95338034390","COLLECTE LOCALISATION SATELLITES","CLS","False","PRC","11 RUE HERMES","31520","RAMONVILLE ST AGNE","FR","","43.555813900000004,1.476781377662105","http://www.cls.fr","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998142126/776825","2023-03-21 17:03:00","1909934","6","participant","862500.0","862500.0","862500","False",""
"696961","ShipHullSHM","953691585","IT11667550153","E.T.S. SISTEMI INDUSTRIALI SRL","ETS SISTEMI","True","PRC","VIA SAN FRANCESCO D'ASSISI 323","20861","BRUGHERIO","IT","","45.4828193,9.2056727","www.etssistemi.it","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/953691585/696961","2023-05-04 20:38:00","2177284","1","coordinator","50000.0","50000.0","71429","False",""
"637261","E2VENT","974074486","PL5840152140","PRZEDSIEBIORSTWO ROBOT ELEWACYJNYCHFASADA SP ZOO","Fasada","True","PRC","UL. BUDOWLANYCH 31 LOK. 04","80 298","GDANSK","PL","","54.36765455,18.483510322838747","http://www.prefasada.pl","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/974074486/637261","2023-04-05 12:29:00","1939305","11","participant","201375.0","201375.0","201375","False",""
"637261","E2VENT","999604110","ESG48975767","FUNDACION TECNALIA RESEARCH & INNOVATION","TECNALIA","False","REC","PARQUE CIENTIFICO Y TECNOLOGICO DE BIZKAIA ASTONDO BIDEA EDIFICIO 700","48160","DERIO (BIZKAIA)","ES","","43.2916949,-2.885882","http://www.tecnalia.com","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999604110/637261","2023-04-05 12:29:00","1905767","2","participant","320800.0","320800.0","320800","False",""
"637261","E2VENT","986363707","BE0480720716","EUROPEAN ALUMINIUM","European Aluminium","True","OTH","AVENUE DE TERVUEREN 168","1150","Brussels","BE","","50.8372772,4.410431","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/986363707/637261","2023-04-05 12:29:00","2398993","6","participant","166700.0","166700.0","166700","False",""
"637261","E2VENT","998959642","ESQ0968272E","UNIVERSIDAD DE BURGOS","UBU","False","HES","HOSPITAL DEL REY","9001","Burgos","ES","","42.3399888,-3.7283679","http://www.ubu.es","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998959642/637261","2023-04-05 12:29:00","2079688","10","participant","143750.0","143750.0","143750","False",""
"637261","E2VENT","999951467","IT03476550102","RINA CONSULTING SPA","RINA-C","False","PRC","VIA CECCHI 6","16129","GENOVA","IT","","44.3975723,8.9565548","http://www.dappolonia.it","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999951467/637261","2023-04-05 12:29:00","1905780","3","participant","291875.0","291875.0","291875","False",""
"637261","E2VENT","947837441","EL094100416","HELLENIC ALUMINIUM INDUSTRY SA","ELVAL","False","PRC","MESOGEION 2-4","11527","ATHINA","EL","","37.9841493,23.7279843","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/947837441/637261","2023-04-05 12:29:00","2398995","8","participant","468163.75","468163.75","468163,75","False",""
"637261","E2VENT","975356438","ESB60798410","PICH-AGUILERA ARQUITECTOS SL","PICH ARCHITECTS","True","PRC","CALLE AVILA 138 4 1","8018","Barcelona","ES","","41.370449300000004,2.1500219563810696","www.picharchitects.com","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/975356438/637261","2023-04-05 12:29:00","2106843","12","participant","175062.5","175062.5","175062,5","False",""
"637261","E2VENT","999903743","GB290316807","UNIVERSITY OF HULL","UHULL","False","HES","COTTINGHAM ROAD","HU6 7RX","HULL","UK","","53.768755,-0.3600619","http://www.hull.ac.uk","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999903743/637261","2023-04-05 12:29:00","1905942","13","participant","128125.0","128125.0","128125","False",""
"637261","E2VENT","967318339","","FENIX TNT SRO","","True","PRC","DUSIKOVA 906/33","638 00","BRNO","CZ","","49.23545,16.6249484","www.fenixtnt.cz","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/967318339/637261","2023-04-05 12:29:00","2056879","9","participant","224000.0","224000.0","224000","False",""
"637261","E2VENT","999929836","ESG47565478","FUNDACION CARTIF","CARTIF","False","REC","PQ TECNOLOGICO BOECILLO 205","47151","Boecillo","ES","","41.5406814,-4.6993792","http://www.cartif.es","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999929836/637261","2023-04-05 12:29:00","1917304","7","participant","275812.5","275812.5","275812,5","False",""
"637261","E2VENT","999812854","ESA81638108","ACCIONA CONSTRUCCION SA","ACCIONA","False","PRC","AVENIDA DE EUROPA 18 PARQUE EMPRESARIAL","28108","Alcobendas","ES","","40.5400082,-3.6358494","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999812854/637261","2023-04-05 12:29:00","1908796","4","participant","301875.0","301875.0","301875","False",""
"637261","E2VENT","994163865","FR95451931208","NOBATEK INEF 4","NOBATEK/INEF4","True","REC","RUE DE MIRAMBEAU 67","64600","Anglet","FR","","43.474132499999996,-1.5093735468552683","www.nobatek.com","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/994163865/637261","2023-04-05 12:29:00","1923962","1","coordinator","502750.0","502750.0","502750","False",""
"817191","PreciSen","910286995","CHE484922918MWST","PRECILABS SA","PreciLabs SA","True","PRC","RUE DU PONTET 15","1425","ONNENS VD","CH","","46.8404088,6.684794000000001","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/910286995/817191","2023-05-04 21:10:00","1951157","1","coordinator","50000.0","50000.0","71429","False",""
"739614","METEOR","939209291","FR82534983218","HEATSELF","HEATSELF","True","PRC","181 ZONE INDUSTRIELLE LES AULNAIRES","76680","SAINT SAENS","FR","","49.677522,1.275456","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/939209291/739614","2023-05-04 21:11:00","3099817","1","coordinator","95437.5","95437.5","95437,5","False",""
"706221","DIVAS","999479853","EL090003416","ETHNIKO IDRYMA EREVNON","NATIONAL HELLENIC RESEARCH FOUNDATION EIE NHRF","False","REC","VAS KONSTANTINOU 48","11635","ATHINA","EL","","37.9841493,23.7279843","http://www.eie.gr","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999479853/706221","2023-05-04 20:18:00","1905593","1","coordinator","164653.2","164653.2","164653,2","False",""
"723764","GO0D MAN","991209924","IT00686250424","AEA s.r.l.","AEA","False","PRC","Via Fiume  16","60030","Angeli di Rosora (AN)","IT","","43.480779,13.0796626","http://www.loccioni.com","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/991209924/723764","2023-04-05 12:39:00","1908649","1","coordinator","568400.0","568400.0","812000","False",""
"723764","GO0D MAN","951719187","IT00072220932","ELECTROLUX PROFESSIONAL SPA","ELUX","False","PRC","VIALE TREVISO 15","33170","PORDENONE PN","IT","","45.952533,12.7856935","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/951719187/723764","2023-04-05 12:39:00","2632073","8","participant","302225.0","302225.0","431750","False",""
"723764","GO0D MAN","933485224","IT00691800429","ZANNINI-SPA","ZAN","False","PRC","VIA CHE GUEVARA 63/A","60022","CASTELFIDARDO","IT","","42.6384261,12.674297","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/933485224/723764","2023-04-05 12:39:00","3099775","7","thirdParty","0.0","35000.0","50000","False",""
